#,Name,Description,Icon,,MaxStacks,ClassJobCategory,StatusCategory,HitEffect,VFX,LockMovement,,LockActions,LockControl,Transfiguration,IsGaze,CanDispel,InflictedByActor,IsPermanent,PartyListPriority,CanIncreaseRewards,,,ParamModifier,ParamEffect,CanStatusOff,Log,IsFcBuff,,Invisibility,TargetType,Flags,,,,,
56,"Erhöhte physische Verwundbarkeit","Erlittener physischer Schaden ist erhöht.",215053,36,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
57,"Magieschaden +","Ausgeteilter Magieschaden ist erhöht.",215054,37,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
58,"Magieschaden -","Ausgeteilter Magieschaden ist verringert.",215055,37,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
59,"Verringerte Magie-Verwundbarkeit","Erlittener Magieschaden ist verringert.",215056,38,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
60,"Erhöhte Magie-Verwundbarkeit","Erlittener Magieschaden ist erhöht.",215057,38,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
61,"Schaden +","Ausgeteilter Schaden ist erhöht.",215519,39,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
62,"Schaden -","Ausgeteilter Schaden ist verringert.",215520,39,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
63,"Verringerte Verwundbarkeit","Erlittener Schaden ist verringert.",215021,40,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
64,"Erhöhte Verwundbarkeit","Erlittener Schaden ist erhöht.",215020,40,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
65,"Kritisches Potenzial","Nächste Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>keit verursacht kritischen Treffer.",215016,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
66,"Terror","Vor Angst be<SoftHyphen/>we<SoftHyphen/>gungs<SoftHyphen/>un<SoftHyphen/>fäh<SoftHyphen/>ig.",215516,0,0,1,2,18,0,True,False,True,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
67,"Bleischwere","Be<SoftHyphen/>we<SoftHyphen/>gungs<SoftHyphen/>ge<SoftHyphen/>schwin<SoftHyphen/>dig<SoftHyphen/>keit ist verringert.",215518,0,0,1,2,4,6,False,False,False,False,False,False,False,True,True,100,0,False,False,0,1,False,0,False,0,False,0,0,0,False,False,False,0
68,"Auszehren","Auto-Attacke entzieht dem Gegner LP.",215504,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
69,"Auslaugen","Auto-Attacke entzieht dem Gegner TP.",215505,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,100,0,False,0,False,0,False,0,0,0,False,False,False,0
70,"Ausschalten","Auto-Attacke kann Gegner betäuben.",215506,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,176,0,False,0,False,0,False,0,0,0,False,False,False,0
71,"Schutzwall","Erlittener Schaden ist verringert.",210152,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
72,"Konvaleszenz","Heilmagie auf sich selbst regeneriert mehr LP.",210157,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,20,0,False,0,False,0,False,0,0,0,False,False,False,0
73,"Achtsamkeit","Erleidet keine kritischen Treffer.",213916,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
74,"Sentinel","Erlittener Schaden ist verringert.",210151,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,-20,0,False,0,False,0,False,0,0,0,False,False,False,0
75,"Eherner Wille","Immun gegen fast alle Rückstoß- und Heranzieheffekte.",210153,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
76,"Verwegenheit","Ausgeteilter Schaden ist erhöht.",210155,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
77,"Bollwerk","Erlittene Attacken werden geblockt.",210156,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,100,0,False,0,False,0,False,0,0,0,False,False,False,0
78,"Schwert-Eid","Auto-Attacke ist verstärkt.",212505,0,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,100,0,True,0,False,0,False,0,0,0,False,False,False,0
79,"Schild-Eid","Feindseligkeit ist erhöht.",212506,0,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,500,0,True,0,False,0,False,0,0,0,False,False,False,0
80,"Deckung","Ein bestimmtes Grup<SoftHyphen/>pen<SoftHyphen/>mit<SoftHyphen/>glied wird beschützt.",212501,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,100,0,False,False,0,0,True,0,False,0,False,0,0,0,False,False,False,0
81,"Gedeckt","Steht unter dem Schutz eines Grup<SoftHyphen/>pen<SoftHyphen/>mit<SoftHyphen/>glieds.",212502,0,0,20,1,16,0,False,False,False,False,False,False,False,False,False,100,0,False,False,0,0,True,0,False,0,False,0,35,0,False,False,False,0
82,"Heiliger Boden","Immun gegen fast alle Attacken.",212504,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,70,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
83,"Vorahnung","Die Verteidigung ist erhöht.",210252,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
84,"Blutbad","Ein Teil des mit der nächsten Attacke ausgeteilten Schadens generiert eigene LP.",213913,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,25,0,False,0,False,0,False,0,0,0,False,False,False,0
85,"Verstümmelung","Ausgeteilter Schaden ist erhöht.",210262,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,5,0,False,0,False,0,False,0,0,0,False,False,False,0
86,"Tollwut","Alle eigenen Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten landen kritische und direkte Treffer. Ist ein Effekt aktiv, der die Rate kritischer oder direkter Treffer steigert, erhöht sich auch der Attacke-Wert.",217217,0,3,1,1,16,0,False,False,False,False,False,False,False,False,False,0,2,False,False,0,27,False,0,False,0,False,0,0,0,False,False,False,0
87,"Kampfrausch","Maximal-LP sind erhöht.
Zusatzeffekt bei Verbesserter Kampfrausch: Eigene LP-Regeneration durch Heilmagie ist erhöht.",210254,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,5,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
88,"Holmgang","Bewegungsunfähig. Schaden beendet den Effekt.",210255,0,0,1,2,17,0,True,False,False,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
89,"Rache","Erlittener Schaden ist verringert und ein Teil des erlittenen physischen Schadens wird auf den Angreifer zurückgeworfen.",210256,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,-30,0,False,0,False,0,False,0,0,0,False,False,False,0
90,"Sturmbrecher","Ausgeteilter Schaden ist erhöht.",210263,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,5,0,False,0,False,0,False,0,0,0,False,False,False,0
91,"Verteidiger","Feindseligkeit ist erhöht.",212551,0,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,500,0,True,0,False,0,False,0,0,0,False,False,False,0
92,"Entfesselt","Reduktion ausgeteilten Schadens bei „Verteidiger“ ist aufgehoben.",212552,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
93,"Zorn","Paraderate ist erhöht.",210257,0,0,1,1,16,7,False,False,False,False,False,False,False,False,False,0,0,False,False,2,0,False,0,False,0,False,0,0,0,False,False,False,0
94,"Zorn II","Paraderate ist erhöht.",210258,0,0,1,1,16,7,False,False,False,False,False,False,False,False,False,0,0,False,False,4,0,False,0,False,0,False,0,0,0,False,False,False,0
95,"Zorn III","Paraderate ist erhöht.",210259,0,0,1,1,16,7,False,False,False,False,False,False,False,False,False,0,0,False,False,6,0,False,0,False,0,False,0,0,0,False,False,False,0
96,"Zorn IV","Paraderate ist erhöht.",210260,0,0,1,1,16,7,False,False,False,False,False,False,False,False,False,0,0,False,False,8,0,False,0,False,0,False,0,0,0,False,False,False,0
97,"Zorn V","Paraderate ist erhöht.",210261,0,0,1,1,16,7,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
98,"Drachentritt","Schlagresistenz ist verringert.",210215,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-5,0,False,0,False,0,False,0,0,0,False,False,False,0
99,"Leichtfuß","Ausweichrate ist erhöht.",210201,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
100,"Innere Gelöstheit","Kritische Trefferrate ist erhöht.",210204,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
101,"Doppelviper","Ausgeteilter Schaden ist erhöht.",210216,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,5,0,False,0,False,0,False,0,0,0,False,False,False,0
102,"Mantra","Effekt von Heilkommandos ist verstärkt.",210206,0,0,41,1,16,0,False,False,False,False,False,False,False,False,False,5,0,False,False,5,0,False,0,False,0,False,0,0,0,False,False,False,0
103,"Sengende Aura","Ausgeteilter Schaden ist erhöht.",210202,29,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,5,0,True,528,False,0,False,0,0,0,False,False,False,0
104,"Steinerne Aura","Erlittener Schaden ist verringert.",210203,29,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,-10,0,True,528,False,0,False,0,0,0,False,False,False,0
105,"Beflügelnde Aura","Be<SoftHyphen/>we<SoftHyphen/>gungs<SoftHyphen/>ge<SoftHyphen/>schwin<SoftHyphen/>dig<SoftHyphen/>keit ist erhöht.",212526,29,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,0,0,True,528,False,0,False,0,0,0,False,False,False,0
106,"Hauch des Todes","Erleidet schrittweise Schaden.",210211,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,10,0,False,True,10,0,False,0,False,3,False,0,0,0,False,False,False,0
107,"Opo-Opo-Form","Hat die Opo-Opo-Kampfhaltung eingenommen.",210212,31,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,True,528,False,0,False,0,0,0,False,False,False,0
108,"Raptor-Form","Hat die Raptor-Kampfhaltung eingenommen.",210213,31,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,True,528,False,0,False,0,0,0,False,False,False,0
109,"Coeurl-Form","Hat die Coeurl-Kampfhaltung eingenommen.",210214,31,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,True,528,False,0,False,0,0,0,False,False,False,0
110,"Improvisation","Kann flexibel sowohl <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Opo-Opo-<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Raptor-<UIGlow>01</UIGlow><UIForeground>01</UIForeground> als auch <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Coeurl-Form<UIGlow>01</UIGlow><UIForeground>01</UIForeground> gleichermaßen einnehmen.",217564,31,3,1,1,16,0,False,False,False,False,False,False,False,False,False,0,2,False,False,0,27,True,528,False,0,False,0,0,0,False,False,False,0
111,"Geölter Blitz","Ausgeteilter Schaden ist erhöht und die Intervalle zwischen Auto-Attacken und die
(Re-)Ak<SoftHyphen/>ti<SoftHyphen/>vie<SoftHyphen/>rungs<SoftHyphen/>zei<SoftHyphen/>ten von Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten und Magie sind verkürzt. ",210207,32,0,1,1,16,8,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,True,0,False,0,False,0,0,0,False,False,False,0
112,"Geölter Blitz II","Ausgeteilter Schaden ist erhöht und die Intervalle zwischen Auto-Attacken und die
(Re-)Ak<SoftHyphen/>ti<SoftHyphen/>vie<SoftHyphen/>rungs<SoftHyphen/>zei<SoftHyphen/>ten von Waf<SoftHyphen/>fen<SoftHyphen/>fer<SoftHyphen/>tig<SoftHyphen/>kei<SoftHyphen/>ten und Magie sind verkürzt. ",210208,32,0,1,1,16,9,False,False,False,False,False,False,False,False,False,0,0,False,False,20,0,True,0,False,0,False,0,0,0,False,False,False,0
