#,Name,Description,Animation{Start},Animation{End},Icon,ClassJob,ClassJobCategory,ClassJobLevel,QuestRequirement,Specialist,,Cost,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL
100031,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 100
Erfolgswahrscheinlichkeit: 100 %",240,247,1602,10,11,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100032,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1952,10,11,7,0,False,0,88,100003,100017,100032,100077,100047,100062,100092,100107
100033,"Schnelle Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 250
Erfolgswahrscheinlichkeit: 50 %",241,248,1619,-1,0,1,0,False,0,0,100033,100033,100033,100033,100033,100033,100033,100033
100034,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 125
Erfolgswahrscheinlichkeit: 100 %
Kombo-Bedingung: <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Veredelung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Bonus: Die HP-Kosten sind auf 18 verringert.",240,247,1616,10,11,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100035,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1956,-1,0,1,0,False,0,0,100005,100019,100035,100079,100049,100065,100094,100110
100036,"Zeichen des Eises","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 100 (bei eisbasiertem Rezept 200)
Erfolgswahrscheinlichkeit: 90 %",239,246,1609,-1,0,1,0,False,0,0,100036,0,0,0,0,0,0,0
100037,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",239,246,1615,-1,0,1,0,False,0,0,100007,100021,100037,100080,100051,100067,100096,100111
100038,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",240,247,1617,-1,0,1,0,False,0,0,100008,100022,100038,100081,100052,100068,100097,100112
100039,"Stück für Stück","Die Arbeit schreitet um etwa ein Drittel des verbliebenen Fortschritts fort, dafür sinkt die Belastbarkeit. (Maximum: 1000)
Erfolgswahrscheinlichkeit: 90 %",239,246,1622,-1,0,1,0,False,0,0,100039,100039,100039,100039,100039,100039,100039,100039
100040,"Beobachten","Wartet für einen Arbeitsschritt ab.",11586,11587,1954,10,11,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100041,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100042,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100043,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100044,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100045,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: <If(Equal(PlayerParameter(68),12))><If(GreaterThanOrEqualTo(PlayerParameter(69),31))>120<Else/>100</If><Else/>100</If>
Erfolgswahrscheinlichkeit: 100 %",239,246,1701,12,13,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100046,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 100
Erfolgswahrscheinlichkeit: 100 %",240,247,1702,12,13,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100047,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1952,12,13,7,0,False,0,88,100003,100017,100032,100077,100047,100062,100092,100107
100048,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 125
Erfolgswahrscheinlichkeit: 100 %
Kombo-Bedingung: <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Veredelung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Bonus: Die HP-Kosten sind auf 18 verringert.",240,247,1716,12,13,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100049,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1956,-1,0,1,0,False,0,0,100005,100019,100035,100079,100049,100065,100094,100110
100050,"Zeichen der Erde","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 100 (bei erdbasiertem Rezept 200)
Erfolgswahrscheinlichkeit: 90 %",239,246,1709,-1,0,1,0,False,0,0,100050,0,0,0,0,0,0,0
100051,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",239,246,1715,-1,0,1,0,False,0,0,100007,100021,100037,100080,100051,100067,100096,100111
100052,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",240,247,1717,-1,0,1,0,False,0,0,100008,100022,100038,100081,100052,100068,100097,100112
100053,"Beobachten","Wartet für einen Arbeitsschritt ab.",11586,11587,1954,12,13,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100054,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100055,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100056,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100057,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100058,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100059,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100060,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: <If(Equal(PlayerParameter(68),13))><If(GreaterThanOrEqualTo(PlayerParameter(69),31))>120<Else/>100</If><Else/>100</If>
Erfolgswahrscheinlichkeit: 100 %",239,246,1751,13,14,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100061,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 100
Erfolgswahrscheinlichkeit: 100 %",240,247,1752,13,14,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100062,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1952,13,14,7,0,False,0,88,100003,100017,100032,100077,100047,100062,100092,100107
100063,"Sorgfältige Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 90
Erfolgswahrscheinlichkeit: 100 %",240,247,1768,-1,0,1,0,False,0,0,100063,100063,100063,100063,100063,100063,100063,100063
100064,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 125
Erfolgswahrscheinlichkeit: 100 %
Kombo-Bedingung: <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Veredelung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Bonus: Die HP-Kosten sind auf 18 verringert.",240,247,1765,13,14,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100065,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1956,-1,0,1,0,False,0,0,100005,100019,100035,100079,100049,100065,100094,100110
100066,"Zeichen des Blitzes","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 100 (bei blitzbasiertem Rezept 200)
Erfolgswahrscheinlichkeit: 90 %",239,246,1758,-1,0,1,0,False,0,0,100066,0,0,0,0,0,0,0
100067,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",239,246,1764,-1,0,1,0,False,0,0,100007,100021,100037,100080,100051,100067,100096,100111
100068,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",240,247,1766,-1,0,1,0,False,0,0,100008,100022,100038,100081,100052,100068,100097,100112
100069,"Sorgfältige Bearbeitung II","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 120
Erfolgswahrscheinlichkeit: 100 %",240,247,1771,-1,0,1,0,False,0,0,100069,100069,100069,100069,100069,100069,100069,100069
100070,"Beobachten","Wartet für einen Arbeitsschritt ab.",11586,11587,1954,13,14,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100071,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100072,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100073,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100074,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100075,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: <If(Equal(PlayerParameter(68),11))><If(GreaterThanOrEqualTo(PlayerParameter(69),31))>120<Else/>100</If><Else/>100</If>
Erfolgswahrscheinlichkeit: 100 %",239,246,1651,11,12,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100076,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 100
Erfolgswahrscheinlichkeit: 100 %",240,247,1652,11,12,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100077,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1952,11,12,7,0,False,0,88,100003,100017,100032,100077,100047,100062,100092,100107
100078,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 125
Erfolgswahrscheinlichkeit: 100 %
Kombo-Bedingung: <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Veredelung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Bonus: Die HP-Kosten sind auf 18 verringert.",240,247,1665,11,12,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100079,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1956,-1,0,1,0,False,0,0,100005,100019,100035,100079,100049,100065,100094,100110
100080,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",239,246,1664,-1,0,1,0,False,0,0,100007,100021,100037,100080,100051,100067,100096,100111
100081,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",240,247,1666,-1,0,1,0,False,0,0,100008,100022,100038,100081,100052,100068,100097,100112
100082,"Beobachten","Wartet für einen Arbeitsschritt ab.",11586,11587,1954,11,12,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100083,"Makellose Bearbeitung","Die Arbeit schreitet um 40 Einheiten fort, dafür sinkt die Belastbarkeit.
Erfolgswahrscheinlichkeit: 90 %",239,246,1673,-1,0,1,0,False,0,0,100083,100083,100083,100083,100083,100083,100083,100083
100084,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100085,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100086,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100087,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100088,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100089,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100090,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: <If(Equal(PlayerParameter(68),14))><If(GreaterThanOrEqualTo(PlayerParameter(69),31))>120<Else/>100</If><Else/>100</If>
Erfolgswahrscheinlichkeit: 100 %",239,246,1801,14,15,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100091,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 100
Erfolgswahrscheinlichkeit: 100 %",240,247,1802,14,15,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100092,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1952,14,15,7,0,False,0,88,100003,100017,100032,100077,100047,100062,100092,100107
100093,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 125
Erfolgswahrscheinlichkeit: 100 %
Kombo-Bedingung: <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Veredelung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Bonus: Die HP-Kosten sind auf 18 verringert.",240,247,1816,14,15,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100094,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1956,-1,0,1,0,False,0,0,100005,100019,100035,100079,100049,100065,100094,100110
100095,"Zeichen des Wassers","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 100 (bei wasserbasiertem Rezept 200)
Erfolgswahrscheinlichkeit: 90 %",239,246,1809,-1,0,1,0,False,0,0,100095,0,0,0,0,0,0,0
100096,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",239,246,1815,-1,0,1,0,False,0,0,100007,100021,100037,100080,100051,100067,100096,100111
100097,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",240,247,1817,-1,0,1,0,False,0,0,100008,100022,100038,100081,100052,100068,100097,100112
100098,"Kunstgriff","Stellt 20 HP wieder her. Kann nur eingesetzt werden, wenn der Zustand des Materials mindestens <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ist.",242,249,1819,-1,0,1,0,False,0,0,100098,100098,100098,100098,100098,100098,100098,100098
100099,"Beobachten","Wartet für einen Arbeitsschritt ab.",11586,11587,1954,14,15,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100100,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100101,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100102,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100103,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100104,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100105,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: <If(Equal(PlayerParameter(68),15))><If(GreaterThanOrEqualTo(PlayerParameter(69),31))>120<Else/>100</If><Else/>100</If>
Erfolgswahrscheinlichkeit: 100 %",239,246,1851,15,16,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100106,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 100
Erfolgswahrscheinlichkeit: 100 %",240,247,1852,15,16,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100107,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1952,15,16,7,0,False,0,88,100003,100017,100032,100077,100047,100062,100092,100107
100108,"Hastige Veredelung","Die Qualität wird erhöht, aber keine HP verbraucht.
Effizienz: 100
Erfolgswahrscheinlichkeit: 50 %",241,248,1868,-1,0,1,0,False,0,0,100108,100108,100108,100108,100108,100108,100108,100108
100109,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 125
Erfolgswahrscheinlichkeit: 100 %
Kombo-Bedingung: <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Veredelung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Bonus: Die HP-Kosten sind auf 18 verringert.",240,247,1865,15,16,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100110,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1956,-1,0,1,0,False,0,0,100005,100019,100035,100079,100049,100065,100094,100110
100111,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",239,246,1864,-1,0,1,0,False,0,0,100007,100021,100037,100080,100051,100067,100096,100111
100112,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",240,247,1866,-1,0,1,0,False,0,0,100008,100022,100038,100081,100052,100068,100097,100112
100113,"Beobachten","Wartet für einen Arbeitsschritt ab.",11586,11587,1954,15,16,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100114,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100115,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100116,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100117,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100118,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100119,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100120,"Byregots Schwung","Die Qualität wird erhöht.
Effizienz: 150 (+ pro Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Innere Ruhe<UIGlow>01</UIGlow><UIForeground>01</UIForeground> weitere
10, wobei Innere Ruhe durch dieses Kommando beendet wird)
Erfolgswahrscheinlichkeit: 70 %
Wenn Spezialist: 100 %",240,247,1958,-1,0,1,0,False,0,0,100120,100121,100122,100123,100124,100125,100126,100127
100121,"Byregots Schwung","Die Qualität wird erhöht.
Effizienz: 150 (+ pro Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Innere Ruhe<UIGlow>01</UIGlow><UIForeground>01</UIForeground> weitere
10, wobei Innere Ruhe durch dieses Kommando beendet wird)
Erfolgswahrscheinlichkeit: 70 %
Wenn Spezialist: 100 %",240,247,1958,-1,0,1,0,False,0,0,100120,100121,100122,100123,100124,100125,100126,100127
100122,"Byregots Schwung","Die Qualität wird erhöht.
Effizienz: 150 (+ pro Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Innere Ruhe<UIGlow>01</UIGlow><UIForeground>01</UIForeground> weitere
10, wobei Innere Ruhe durch dieses Kommando beendet wird)
Erfolgswahrscheinlichkeit: 70 %
Wenn Spezialist: 100 %",240,247,1958,-1,0,1,0,False,0,0,100120,100121,100122,100123,100124,100125,100126,100127
100123,"Byregots Schwung","Die Qualität wird erhöht.
Effizienz: 150 (+ pro Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Innere Ruhe<UIGlow>01</UIGlow><UIForeground>01</UIForeground> weitere
10, wobei Innere Ruhe durch dieses Kommando beendet wird)
Erfolgswahrscheinlichkeit: 70 %
Wenn Spezialist: 100 %",240,247,1958,-1,0,1,0,False,0,0,100120,100121,100122,100123,100124,100125,100126,100127
100124,"Byregots Schwung","Die Qualität wird erhöht.
Effizienz: 150 (+ pro Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Innere Ruhe<UIGlow>01</UIGlow><UIForeground>01</UIForeground> weitere
10, wobei Innere Ruhe durch dieses Kommando beendet wird)
Erfolgswahrscheinlichkeit: 70 %
Wenn Spezialist: 100 %",240,247,1958,-1,0,1,0,False,0,0,100120,100121,100122,100123,100124,100125,100126,100127
100125,"Byregots Schwung","Die Qualität wird erhöht.
Effizienz: 150 (+ pro Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Innere Ruhe<UIGlow>01</UIGlow><UIForeground>01</UIForeground> weitere
10, wobei Innere Ruhe durch dieses Kommando beendet wird)
Erfolgswahrscheinlichkeit: 70 %
Wenn Spezialist: 100 %",240,247,1958,-1,0,1,0,False,0,0,100120,100121,100122,100123,100124,100125,100126,100127
